Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
New Zealand,NZL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.87005108790095,3.41099312247906,4.71347767117496,4.72804204913962,4.08796484025709,3.35292760405062,2.77978059105617,3.05641638984955,-1.01703846933975,-0.0374661120713,1.45863634911349,2.09349621669912,2.36630664656174,2.58954199031598,3.82638491760299,3.69036908387233,3.77911068354334,3.37873219470765,3.47058203866328,2.31747144034802,-0.307246896026541,4.53540565716095,3.49638686458842,1.39425181563566
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.8765231247659,1.63614170690956,-0.228255715793637,-0.529801394291297,1.16208684507278,0.885485292551564,3.86668241523209,2.8891174138025,0.887902330743628,-5.54455451920674,4.13463778522758,3.75796884489337,0.463512036709204,0.396995583779145,2.18018602168017,1.66300602334775,2.22222216259371,2.797906720551,1.13569604599849,0.977734697038784,-4.13191443239947,3.90999994204108,1.8092581243061,-0.869647578573321
Netherlands,NLD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.2197537762102,2.32357570819386,0.245785659129112,0.097832364227159,2.01630996216733,2.03396336199143,3.53737509680782,3.88530644801823,2.11681593642137,-3.66529049145096,1.31932032302214,1.77334516269423,-0.977876877747732,-0.0302325600539604,1.61261001294011,2.12060523860846,2.42428572955482,2.78154619309936,2.2587403735731,2.30009157916757,-3.86795333823223,6.2768306708326,5.00723455159611,-0.598096167209832
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.71670510672588,1.09960362419645,1.70689430349601,1.03795518162204,3.57120671942319,2.32173792911834,2.55234087322462,3.67692462515802,0.446905130727231,-1.90644105515335,2.71031150254662,1.93115502411325,0.215803612089744,0.305494549070232,1.76554038149924,1.47416433731927,1.19350273007754,1.47446761556785,1.87796847383565,2.4428900448156,-4.7929839083518,6.25445686466593,3.9562379757933,1.71412195515242
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.18952292988787,1.31698749571339,1.48436877605324,1.14156504542775,2.56525534067859,2.32036514266782,3.26933601506059,3.77522468729185,1.45330562142114,-3.58626472551299,1.80898243043663,2.92746800169145,0.628246239479637,-0.250726423318454,0.755798850316665,1.30352331826198,2.11721964494312,2.27224992038207,2.48422114080024,1.75497619649288,-6.31825509209936,4.92309171717903,5.33096379400371,-0.786244288594673
Denmark,DNK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.72400899471576,0.95003224600012,0.456530018779986,0.441091006625101,2.77635180744053,2.35960882992528,3.81648769908172,0.987173815945127,-0.417178439991005,-4.97447905669058,1.58289703108802,1.3108037609606,-0.00543230161670749,1.39267343161971,1.27799983192831,2.10441456445301,3.07304549209093,3.05647723922718,1.8600074900921,1.71140093932736,-1.78010601831291,6.50025445756295,0.443832614908331,0.604587766175584
Sweden,SWE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.63112136551369,1.36080642694121,2.27772867861897,1.88102769675844,4.17958419343711,2.79313782840156,4.67607488877992,3.22486814096095,-0.923113250067971,-4.25561384207619,5.75076477579255,3.16388567406926,-0.414397702454409,1.13766671801426,2.29577238758284,4.38824673608589,2.13117914731151,1.88282184966646,1.7702553546772,2.60823012869524,-1.93379704032216,5.2258643028773,1.25543620445816,-0.204061304891439
Norway,NOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.31894570142394,2.06713043546189,1.37755702173065,0.944909363247831,4.01458802387079,2.68512290339085,2.46147311635166,2.91404000653228,0.481919549757933,-1.94036472596633,0.787051861494078,1.10565603382983,2.71795924894734,1.01619084044641,2.04813200438943,1.85733971623901,1.16472423928819,2.46374626574153,0.828931500516902,1.12374694968757,-1.27817177234034,3.90868676830634,3.24622860260932,0.0721204806030329
Finland,FIN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.75373770498848,2.64026205699308,1.68732644358099,2.01179992738312,4.00537952277651,2.77730918518017,4.01957326515895,5.31280176694145,0.784431235717051,-8.07603116552393,3.1682879121621,2.39039455396828,-1.52284013040689,-0.979741024949618,-0.4780684247837,0.466503766322674,2.57193414898754,3.30337003591039,1.19297759742292,1.34973845741737,-2.49103605535707,2.67634641498897,0.763041912763526,-0.939093459613758
Japan,JPN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.76464755136783,0.386103426142029,0.0419624992862282,1.53512549946694,2.18611569439318,1.80390087215821,1.3723501275831,1.48396941157472,-1.22428900061713,-5.69323635892741,4.09791791943181,0.0238095237995424,1.37475099905274,2.00510017681211,0.296205514141889,1.56062669680782,0.753826745789127,1.67533175173359,0.643391023533141,-0.402169200894946,-4.16876457146743,2.69657404187188,0.941998775483285,1.47503481053384
"Korea, Rep.",KOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9.2018583880479,4.72593560322356,7.74399895319569,3.07472661826947,5.1836368597334,4.35823667337156,5.24500550580342,5.8419633918717,3.00440451679569,0.81986175641795,6.98166138853071,3.6880320602952,2.54766550568242,3.2913959543442,3.21468019683108,2.92029267301234,3.17152748983935,3.433191763972,3.17611568177327,2.31380210595475,-0.700242317542106,4.61296795454287,2.72756456708991,1.58301467403629
Switzerland,CHE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.95871990780931,1.57566198688916,-0.0732172569941127,-0.0323984255438887,2.70170912949028,2.74969910618739,4.0736284178369,3.91637577227581,2.8079835919566,-2.29737452570922,3.24339715656356,1.81310830459596,1.17925385250513,1.79214400716117,2.34988141500179,1.64462750849488,2.06868969039562,1.36279965488859,2.86044579439036,1.14198218965691,-2.14173712008038,5.55962020605844,3.04406102969423,0.683328174376044
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.07758575682804,0.955538348341605,1.70044732643726,2.79560596320081,3.84777169556921,3.48354993555606,2.78453963650701,2.00385829784946,0.113587249881704,-2.57650022958367,2.69519257744442,1.56440685763506,2.28911338669843,2.11783009790057,2.52381981363968,2.94555045484053,1.81945147788167,2.45762229852507,2.96650506901305,2.58382533412825,-2.16302914036166,6.05505293244555,2.51237531986017,2.88755600749487
United Kingdom,GBR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.52438074810904,2.39102229602824,1.70902736258567,3.21851612669614,2.32601853325993,2.7906547174688,2.18982132415704,2.93091133582351,-0.0494116727402769,-4.58740819226323,2.26054460931586,0.851437739020326,1.52826034721852,1.71846961308464,3.16017351468152,2.14040560033371,2.20652020635357,3.02322219840339,1.55133095078786,1.25629899760824,-10.047896637362,8.5431118453255,5.14970388522993,0.271650048355255
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.1385391803606,1.87509810696022,2.99925535017809,1.80638512302554,3.09236384292251,3.21045439063563,2.63794375007348,2.04990463726786,0.995406301140747,-2.91508621550267,3.09080634469335,3.13719442170364,1.75566129145483,2.32581354806429,2.87346677785811,0.649971001734855,1.03855092490855,3.03383491200222,2.74296344906655,1.90843194590616,-5.03823343468899,5.95052802804381,4.18903628100851,1.52874550838358
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.9160574881715,2.03145880248898,3.94980535772942,3.0912800997751,4.21894147547516,3.15548121323168,2.7709261737475,3.78947119882653,3.62398503565633,1.95484826298522,2.21004795300735,2.39473494330615,3.95247138119184,2.65445302592404,2.60118978187332,2.16434780647852,2.75564065529868,2.29331030192918,2.87417039499501,2.19401703622717,-0.133531904304775,2.00694844335034,4.25304559238732,3.58382100798981
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,License Type,Indicator Name,Long definition,Source,Topic,Dataset,Unit of measure,Periodicity,Reference period,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,License URL
NY.GDP.MKTP.KD.ZG,CC BY-4.0,GDP (annual % growth),"Gross domestic product is the total income earned through the production of goods and services in an economic territory during an accounting period. It can be measured in three different ways: using either the expenditure approach, the income approach, or the production approach. This indicator denotes the percentage change over each previous year of the constant price (base year 2015) series in United States dollars.","Country official statistics, National Statistical Organizations and/or Central Banks;
National Accounts data files, Organisation for Economic Co-operation and Development (OECD);
Staff estimates, World Bank (WB)",Economic Policy & Debt: National accounts: Growth rates,WB_WDI,%,Annual,1961-2024,Weighted average,"Methodology: National accounts are compiled in accordance with international standards: System of National Accounts, 2008 or 1993 versions. Specific information on how countries compile their national accounts can be found on the IMF website: https://dsbb.imf.org/
Statistical concept(s): The conceptual elements of the SNA (System of National Accounts) measure what takes place in the economy, between which agents, and for what purpose. At the heart of the SNA is the production of goods and services. These may be used for consumption in the period to which the accounts relate or may be accumulated for use in a later period. In simple terms, the amount of value added generated by production represents GDP. The income corresponding to GDP is distributed to the various agents or groups of agents as income and it is the process of distributing and redistributing income that allows one agent to consume the goods and services produced by another agent or to acquire goods and services for later consumption. The way in which the SNA captures this pattern of economic flows is to identify the activities concerned by recognizing the institutional units in the economy and by specifying the structure of accounts capturing the transactions relevant to one stage or another of the process by which goods and services are produced and ultimately consumed.","This indicator is related to the national accounts, which are critical for understanding and managing a country's economy. They provide a framework for the analysis of economic performance. National accounts are the basis for estimating the Gross Domestic Product (GDP) and Gross National Income (GNI), which are the most widely used indicator of economic performance. They are essential for government policymakers, providing the data needed to design and assess fiscal and monetary policies; and are also used by businesses and investors to assess the economic climate and make investment decisions. NAS enable comparison between economies, which is crucial for international trade, investment decisions, and economic competitiveness. More specifically, this indicator is related to national accounts aggregates. Gross Domestic Product (GDP), Gross National Income (GNI), and other aggregates provide a snapshot of the size and health of an economy by measuring the total economic activity within a country. They can thus be used by policymakers to design and implement economic policies, as they reflect the overall economic performance and can indicate the need for intervention in certain areas. Aggregates also allow for comparisons between different economies, which can be useful for trade negotiations, investment decisions, and economic benchmarking. By examining aggregates over time, economists and analysts can identify trends, cycles, and potential areas of concern within an economy, and investors can use national accounts aggregates to assess the potential risks and returns of investing in a particular country. Overall, national accounts aggregates are fundamental tools for economic analysis, policy formulation, and decision-making at both the national and international levels.","Each industry's contribution to growth in the economy's output is measured by growth in the industry's value added. In principle, value added in constant prices can be estimated by measuring the quantity of goods and services produced in a period, valuing them at an agreed set of base year prices, and subtracting the cost of intermediate inputs, also in constant prices. This double-deflation method requires detailed information on the structure of prices of inputs and outputs.





In many industries, however, value added is extrapolated from the base year using single volume indexes of outputs or, less commonly, inputs. Particularly in the services industries, including most of government, value added in constant prices is often imputed from labor inputs, such as real wages or number of employees. In the absence of well defined measures of output, measuring the growth of services remains difficult.





Moreover, technical progress can lead to improvements in production processes and in the quality of goods and services that, if not properly accounted for, can distort measures of value added and thus of growth. When inputs are used to estimate output, as for nonmarket services, unmeasured technical progress leads to underestimates of the volume of output. Similarly, unmeasured improvements in quality lead to underestimates of the value of output and value added. The result can be underestimates of growth and productivity improvement and overestimates of inflation.





Informal economic activities pose a particular measurement problem, especially in developing countries, where much economic activity is unrecorded. A complete picture of the economy requires estimating household outputs produced for home use, sales in informal markets, barter exchanges, and illicit or deliberately unreported activities. The consistency and completeness of such estimates depend on the skill and methods of the compiling statisticians.





Rebasing of national accounts can alter the measured growth rate of an economy and lead to breaks in series that affect the consistency of data over time. When countries rebase their national accounts, they update the weights assigned to various components to better reflect current patterns of production or uses of output. The new base year should represent normal operation of the economy - it should be a year without major shocks or distortions. Some developing countries have not rebased their national accounts for many years. Using an old base year can be misleading because implicit price and volume weights become progressively less relevant and useful.





To obtain comparable series of constant price data for computing aggregates, the World Bank rescales GDP and value added by industrial origin to a common reference year. Because rescaling changes the implicit weights used in forming regional and income group aggregates, aggregate growth rates are not comparable with those from earlier editions with different base years. Rescaling may result in a discrepancy between the rescaled GDP and the sum of the rescaled components. To avoid distortions in the growth rates, the discrepancy is left unallocated. As a result, the weighted average of the growth rates of the components generally does not equal the GDP growth rate.",https://datacatalog.worldbank.org/public-licenses#cc-by
